question_id,real
VAE1,2
VAE2,1
VAE3,2
VAE4,2
VAE5,2
VAE6,2
VAE7,1
VAE8,1
VAE9,2
VAE10,1
VAE11,1
VAE12,1
VAE13,1
VAE14,1
VAE15,1
VAE16,1
VAE17,1
VAE18,1
VAE19,1
VAE20,1
VAE21,1
VAE22,1
VAE23,1
VAE24,1
VAE25,1
VAE26,1
VAE27,1
VAE28,1
VAE29,1
VAE30,1
RANDOM1,1
RANDOM2,2
RANDOM3,2
RANDOM4,2
RANDOM5,2
RANDOM6,2
RANDOM7,2
RANDOM8,2
RANDOM9,2
RANDOM10,2
RANDOM11,2
RANDOM12,2
RANDOM13,2
RANDOM14,2
RANDOM15,2
RANDOM16,1
RANDOM17,1
RANDOM18,1
RANDOM19,1
RANDOM20,1
RANDOM21,1
RANDOM22,1
RANDOM23,1
RANDOM24,1
RANDOM25,1
RANDOM26,1
RANDOM27,1
RANDOM28,1
RANDOM29,1
RANDOM30,1
